cik,ticker,source,entity_name
1853044,AERTW,current,"Aeries Technology, Inc."
874761,AES,fundamentals,
1984060,AESI,fundamentals,
2082526,AESP,fundamentals,
2082526,AESPU,current,Aeon Acquisition I Corp.
764630,AETN,fundamentals,
1789029,AEVA,fundamentals,
2079173,AEXA,fundamentals,
1362190,AEYE,fundamentals,
1823406,AFBI,fundamentals,
1822523,AFCG,fundamentals,
1042046,AFG,fundamentals,
1042046,AFGB,current,AMERICAN FINANCIAL GROUP INC
1042046,AFGC,current,AMERICAN FINANCIAL GROUP INC
1042046,AFGD,current,AMERICAN FINANCIAL GROUP INC
1042046,AFGE,current,AMERICAN FINANCIAL GROUP INC
1979005,AFJK,fundamentals,
1979005,AFJKR,current,"Aimei Health Technology Co., Ltd."
1979005,AFJKU,current,"Aimei Health Technology Co., Ltd."
4977,AFL,fundamentals,
1820953,AFRM,fundamentals,
880266,AGCO,fundamentals,
1098972,AGEN,fundamentals,
1109262,AGGI,fundamentals,
1109262,AGGID,current,"BILI Social International, Inc."
2009312,AGH,current,Aureus Greenway Holdings Inc
1156041,AGIG,fundamentals,
1439222,AGIO,fundamentals,
1831097,AGL,fundamentals,
1673504,AGLY,fundamentals,
845877,AGM,fundamentals,
845877,AGM-A,current,FEDERAL AGRICULTURAL MORTGAGE CORP
845877,AGM-PD,current,FEDERAL AGRICULTURAL MORTGAGE CORP
845877,AGM-PE,current,FEDERAL AGRICULTURAL MORTGAGE CORP
845877,AGM-PF,current,FEDERAL AGRICULTURAL MORTGAGE CORP
845877,AGM-PG,current,FEDERAL AGRICULTURAL MORTGAGE CORP
845877,AGM-PH,current,FEDERAL AGRICULTURAL MORTGAGE CORP
845877,AGM-PI,current,FEDERAL AGRICULTURAL MORTGAGE CORP
850693,AGN,delisted_seed,ALLERGAN INC
1423689,AGNC,fundamentals,
1423689,AGNCL,current,AGNC Investment Corp.
1423689,AGNCM,current,AGNC Investment Corp.
1423689,AGNCN,current,AGNC Investment Corp.
1423689,AGNCO,current,AGNC Investment Corp.
1423689,AGNCP,current,AGNC Investment Corp.
1423689,AGNCZ,current,AGNC Investment Corp.
1495932,AGNT,fundamentals,
1273813,AGO,fundamentals,
1446159,AGPU,fundamentals,
1415311,AGQ,fundamentals,
1514443,AGSS,fundamentals,
1603345,AGTX,fundamentals,
100591,AGX,fundamentals,
78749,AGYS,fundamentals,
1725255,AHCO,fundamentals,
1545236,AHII,fundamentals,
1267395,AHL-PD,fundamentals,
1267395,AHL-PE,current,ASPEN INSURANCE HOLDINGS LTD
1267395,AHL-PF,current,ASPEN INSURANCE HOLDINGS LTD
1304409,AHNRF,fundamentals,
1632970,AHR,fundamentals,
1338929,AHRO,fundamentals,
1569187,AHRT,fundamentals,
1569187,AHRT-PA,current,"AH Realty Trust, Inc."
1232582,AHT,fundamentals,
1232582,AHT-PD,current,ASHFORD HOSPITALITY TRUST INC
1232582,AHT-PF,current,ASHFORD HOSPITALITY TRUST INC
1232582,AHT-PG,current,ASHFORD HOSPITALITY TRUST INC
1232582,AHT-PH,current,ASHFORD HOSPITALITY TRUST INC
1232582,AHT-PI,current,ASHFORD HOSPITALITY TRUST INC
1577526,AI,fundamentals,
2096362,AIAI,fundamentals,
2070542,AIB,fundamentals,
1763329,AIBT,fundamentals,
1702015,AIDG,fundamentals,
1139685,AIDX,fundamentals,
1912582,AIEV,fundamentals,
1708341,AIFA,fundamentals,
862861,AIFC,fundamentals,
803578,AIFF,fundamentals,
5272,AIG,fundamentals,
1711012,AIHS,fundamentals,
2007587,AII,fundamentals,
2073553,AIIA,fundamentals,
2073553,AIIA-RI,current,AI Infrastructure Acquisition Corp.
2073553,AIIA-UN,current,AI Infrastructure Acquisition Corp.
946644,AIM,fundamentals,
1014763,AIMD,fundamentals,
1014763,AIMDW,current,"Ainos, Inc."
819793,AIN,fundamentals,
1774170,AIOT,fundamentals,
1667011,AIP,fundamentals,
1750,AIR,fundamentals,
1859199,AIRE,fundamentals,
1272842,AIRG,fundamentals,
1009891,AIRI,fundamentals,
1855474,AIRJ,fundamentals,
1855474,AIRJW,current,AirJoule Technologies Corp.
1927958,AIRO,fundamentals,
1870940,AIRS,fundamentals,
353184,AIRT,fundamentals,
353184,AIRTP,current,AIR T INC
1842566,AISP,fundamentals,
1842566,AISPW,current,"Airship AI Holdings, Inc."
109563,AIT,fundamentals,
1498148,AITX,fundamentals,
922864,AIV,fundamentals,
1460702,AIXC,fundamentals,
835662,AIXN,fundamentals,
1267238,AIZ,fundamentals,
1267238,AIZN,current,"ASSURANT, INC."
354190,AJG,fundamentals,
1865107,AKA,fundamentals,
1086222,AKAM,fundamentals,
1517022,AKBA,fundamentals,
899629,AKR,fundamentals,
2035832,AKTS,fundamentals,
1541157,AKTX,fundamentals,
1736297,ALAB,fundamentals,
915913,ALB,fundamentals,
915913,ALB-PA,current,ALBEMARLE CORP
1630212,ALBT,fundamentals,
3545,ALCO,fundamentals,
1901336,ALCUF,current,Alchemy Investments Acquisition Corp 1
1901336,ALCWF,current,Alchemy Investments Acquisition Corp 1
1901336,ALCY,current,Alchemy Investments Acquisition Corp 1
1901336,ALCYF,fundamentals,
1901336,ALCYU,current,Alchemy Investments Acquisition Corp 1
1901336,ALCYW,current,Alchemy Investments Acquisition Corp 1
1062506,ALDA,fundamentals,
2031561,ALDF,fundamentals,
2031561,ALDFU,current,Aldel Financial II Inc.
2031561,ALDFW,current,Aldel Financial II Inc.
1755101,ALDS,fundamentals,
1755101,ALDSD,current,APPlife Digital Solutions Inc
1341235,ALDX,fundamentals,
1653087,ALEC,fundamentals,
2010930,ALF,fundamentals,
2010930,ALFUU,current,Centurion Acquisition Corp.
2010930,ALFUW,current,Centurion Acquisition Corp.
897077,ALG,fundamentals,
866291,ALGM,fundamentals,
1097149,ALGN,fundamentals,
1799448,ALGS,fundamentals,
1362468,ALGT,fundamentals,
1317685,ALH,fundamentals,
1832466,ALHC,fundamentals,
2026767,ALIS,fundamentals,
2026767,ALISR,current,Calisa Acquisition Corp
2026767,ALISU,current,Calisa Acquisition Corp
1809104,ALIT,fundamentals,
766421,ALK,fundamentals,
1520262,ALKS,fundamentals,
1529274,ALKT,fundamentals,
899051,ALL,fundamentals,
899051,ALL-PB,current,ALLSTATE CORP
899051,ALL-PH,current,ALLSTATE CORP
899051,ALL-PI,current,ALLSTATE CORP
899051,ALL-PJ,current,ALLSTATE CORP
1579241,ALLE,fundamentals,
1737287,ALLO,fundamentals,
1860657,ALLR,fundamentals,
40729,ALLY,fundamentals,
2104204,ALMR,fundamentals,
1847367,ALMS,fundamentals,
1828805,ALMU,fundamentals,
46129,ALNT,fundamentals,
1178670,ALNY,fundamentals,
8146,ALOT,fundamentals,
2083989,ALOV,fundamentals,
2083989,ALOVU,current,"Aldabra 4 Liquidity Opportunity Vehicle, Inc."
2083989,ALOVW,current,"Aldabra 4 Liquidity Opportunity Vehicle, Inc."
1567900,ALOY,fundamentals,
1459200,ALRM,fundamentals,
903419,ALRS,fundamentals,
1865111,ALSAF,fundamentals,
1411207,ALSN,fundamentals,
1865111,ALSTF,current,Alpha Star Acquisition Corp
1865111,ALSUF,current,Alpha Star Acquisition Corp
1865111,ALSWF,current,Alpha Star Acquisition Corp
1326190,ALT,fundamentals,
1642365,ALTB,fundamentals,
1759824,ALTG,fundamentals,
1759824,ALTG-PA,current,ALTA EQUIPMENT GROUP INC.
1838615,ALTI,fundamentals,
778164,ALTO,fundamentals,
775057,ALTX,fundamentals,
2041493,ALUB,fundamentals,
2041493,ALUB-UN,current,Alussa Energy Acquisition Corp. II
2041493,ALUB-WT,current,Alussa Energy Acquisition Corp. II
1964979,ALUR,fundamentals,
1964979,ALURW,current,"ALLURION TECHNOLOGIES, INC."
1034670,ALV,fundamentals,
3499,ALX,fundamentals,
899866,ALXN,delisted_seed,ALEXION PHARMACEUTICALS INC
1810182,ALXO,fundamentals,
1677077,ALZN,fundamentals,
1623925,AM,fundamentals,
1823608,AMAL,fundamentals,
2112457,AMAN,fundamentals,
6951,AMAT,fundamentals,
1280263,AMBA,fundamentals,
1494558,AMBO,fundamentals,
1500412,AMBQ,fundamentals,
1411579,AMC,fundamentals,
1748790,AMCCF,current,Amcor plc
1937891,AMCI,fundamentals,
1748790,AMCR,fundamentals,
1514991,AMCX,fundamentals,
2488,AMD,fundamentals,
1037868,AME,fundamentals,
896262,AMED,delisted_seed,AMEDISYS INC
96664,AMFN,fundamentals,
1004434,AMG,fundamentals,
318154,AMGN,fundamentals,
1562401,AMH,fundamentals,
1562401,AMH-PG,current,American Homes 4 Rent
1562401,AMH-PH,current,American Homes 4 Rent
1617867,AMIX,fundamentals,
19617,AMJB,current,JPMORGAN CHASE & CO
1047127,AMKR,fundamentals,
1356371,AMLM,fundamentals,
1658551,AMLX,fundamentals,
1142750,AMN,fundamentals,
1862463,AMOD,fundamentals,
1862463,AMODW,current,"ALPHA MODUS HOLDINGS, INC."
820027,AMP,fundamentals,
1518461,AMPG,fundamentals,
1518461,AMPGR,current,"AmpliTech Group, Inc."
1518461,AMPGZ,current,"AmpliTech Group, Inc."
1297184,AMPH,fundamentals,
1866692,AMPL,fundamentals,
1899287,AMPX,fundamentals,
1899287,AMPX-WT,current,"Amprius Technologies, Inc."
1533924,AMPY,fundamentals,
1704715,AMR,fundamentals,
1488139,AMRC,fundamentals,
897448,AMRN,fundamentals,
1723128,AMRX,fundamentals,
2035989,AMRZ,fundamentals,
744825,AMS,fundamentals,
880807,AMSC,fundamentals,
1018979,AMSF,fundamentals,
1851491,AMSS,fundamentals,
1807166,AMST,fundamentals,
1053507,AMT,fundamentals,
1734342,AMTB,fundamentals,
2011286,AMTM,fundamentals,
738214,AMTX,fundamentals,
794619,AMWD,fundamentals,
1393584,AMWL,fundamentals,
1880343,AMZE,fundamentals,
1018724,AMZN,fundamentals,
350698,AN,fundamentals,
1370053,ANAB,fundamentals,
821026,ANDE,fundamentals,
2065708,ANDG,fundamentals,
50104,ANDV,delisted_seed,ANDEAVOR
1815974,ANEB,fundamentals,
1596532,ANET,fundamentals,
1018840,ANF,fundamentals,
1039828,ANG-PD,fundamentals,
1705110,ANGI,fundamentals,
1275187,ANGO,fundamentals,
1865200,ANGX,fundamentals,
898437,ANIK,fundamentals,
1023024,ANIP,fundamentals,
715446,ANIX,fundamentals,
1781629,ANKM,fundamentals,
1845123,ANNA,fundamentals,
1845123,ANNAW,current,"AleAnna, Inc."
1528115,ANNX,fundamentals,
1999480,ANRO,fundamentals,
1854149,ANSC,fundamentals,
1854149,ANSCU,current,Agriculture & Natural Solutions Acquisition Corp
1854149,ANSCW,current,Agriculture & Natural Solutions Acquisition Corp
1880438,ANTX,fundamentals,
1570132,ANVI,fundamentals,
1477845,ANVS,fundamentals,
1591956,ANY,fundamentals,
1766478,AOMD,current,"Angel Oak Mortgage REIT, Inc."
1766478,AOMN,current,"Angel Oak Mortgage REIT, Inc."
1766478,AOMR,fundamentals,
315293,AON,fundamentals,
784199,AORT,fundamentals,
91142,AOS,fundamentals,
1387467,AOSL,fundamentals,
1808997,AOUT,fundamentals,
352991,AOXY,fundamentals,
6176,AP,fundamentals,
1841666,APA,fundamentals,
2043630,APAC,fundamentals,
2043630,APACR,current,StoneBridge Acquisition II Corp
2043630,APACU,current,StoneBridge Acquisition II Corp
1517302,APAM,fundamentals,
2080921,APC,fundamentals,
1070050,APCX,fundamentals,
1070050,APCXW,current,AppTech Payments Corp.
2969,APD,fundamentals,
1201792,APEI,fundamentals,
1796209,APG,fundamentals,
1974640,APGE,fundamentals,
820313,APH,fundamentals,
1490054,APHD,fundamentals,
1771995,APHP,fundamentals,
1144879,APLD,fundamentals,
1418121,APLE,fundamentals,
1858681,APO,fundamentals,
1858681,APO-PA,current,"Apollo Global Management, Inc."
6845,APOG,fundamentals,
1858681,APOS,current,"Apollo Global Management, Inc."
1751008,APP,fundamentals,
1433195,APPF,fundamentals,
1441683,APPN,fundamentals,
317788,APPS,fundamentals,
1781983,APRE,fundamentals,
1553264,APSI,fundamentals,
884269,APT,fundamentals,
1938571,APTN,fundamentals,
882361,APTOF,fundamentals,
1521332,APTV,fundamentals,
2093524,APUR,fundamentals,
2093524,APURR,current,Aperture AC
2093524,APURU,current,Aperture AC
1894525,APUS,fundamentals,
1671584,APVO,fundamentals,
2079253,APXT,fundamentals,
2079253,APXTU,current,Apex Treasury Corp
2079253,APXTW,current,Apex Treasury Corp
1568969,APYP,current,Techlott Inc.
719135,APYX,fundamentals,
1603978,AQB,fundamentals,
1621832,AQMS,fundamentals,
1398733,AQST,fundamentals,
1433270,AR,fundamentals,
1818274,ARAI,fundamentals,
1138723,ARAY,fundamentals,
894405,ARCB,fundamentals,
1287750,ARCC,fundamentals,
1037676,ARCH,delisted_seed,ARCH COAL INC
2083910,ARCI,fundamentals,
2083910,ARCIU,current,Archimedes Tech SPAC Partners III Co.
2083910,ARCIW,current,Archimedes Tech SPAC Partners III Co.
2073515,ARCL,fundamentals,
2073515,ARCLU,current,ARC Group Acquisition I Corp.
1768224,ARCT,fundamentals,
1756655,ARDT,fundamentals,
1437402,ARDX,fundamentals,
1035443,ARE,fundamentals,
1648087,AREB,fundamentals,
1648087,AREBW,current,AMERICAN REBEL HOLDINGS INC
1590715,AREC,fundamentals,
894871,AREN,fundamentals,
1176948,ARES,fundamentals,
1176948,ARES-PB,current,Ares Management Corp
1875444,ARHS,fundamentals,
1467760,ARI,fundamentals,
1869699,ARKB,fundamentals,
1823794,ARKO,fundamentals,
779544,ARKR,fundamentals,
1102238,ARL,fundamentals,
1736946,ARLO,fundamentals,
1086600,ARLP,fundamentals,
1584509,ARMK,fundamentals,
921114,ARMP,fundamentals,
1080709,ARNA,delisted_seed,ARENA PHARMACEUTICALS INC
1389050,AROC,fundamentals,
717538,AROW,fundamentals,
1515156,ARQ,fundamentals,
1787306,ARQT,fundamentals,
1428205,ARR,fundamentals,
1428205,ARR-PC,current,"Armour Residential REIT, Inc."
1530425,ARRT,fundamentals,
1820721,ARRY,fundamentals,
2086545,ARTC,fundamentals,
2086545,ARTCU,current,Art Technology Acquisition Corp.
2086545,ARTCW,current,Art Technology Acquisition Corp.
1621221,ARTL,fundamentals,
863110,ARTNA,fundamentals,
863110,ARTNB,current,ARTESIAN RESOURCES CORP
1817241,ARTV,fundamentals,
7623,ARTW,fundamentals,
1655759,ARVN,fundamentals,
7536,ARW,fundamentals,
879407,ARWR,fundamentals,
1997350,ARX,fundamentals,
2093536,ARXS,fundamentals,
1477720,ASAN,fundamentals,
7789,ASB,fundamentals,
7789,ASB-PE,current,ASSOCIATED BANC-CORP
7789,ASB-PF,current,ASSOCIATED BANC-CORP
7789,ASBA,current,ASSOCIATED BANC-CORP
1847345,ASBP,fundamentals,
1847345,ASBPW,current,"Aspire Biopharma Holdings, Inc."
1876716,ASCBF,fundamentals,
1876716,ASCRF,current,ASPAC II Acquisition Corp.
1876716,ASCWF,current,ASPAC II Acquisition Corp.
1828748,ASFH,fundamentals,
1651992,ASFT,fundamentals,
1674862,ASH,fundamentals,
2040491,ASIC,fundamentals,
1464865,ASII,fundamentals,
1673985,ASIX,fundamentals,
1754170,ASLE,fundamentals,
1426800,ASMB,fundamentals,
1141284,ASNS,fundamentals,
1817358,ASO,fundamentals,
1890361,ASPC,fundamentals,
1890361,ASPCR,current,ASPAC III Acquisition Corp.
1890361,ASPCU,current,ASPAC III Acquisition Corp.
1921865,ASPI,fundamentals,
1145986,ASPN,fundamentals,
1462418,ASPS,fundamentals,
1462418,ASPSW,current,ALTISOURCE PORTFOLIO SOLUTIONS S.A.
1462418,ASPSZ,current,ALTISOURCE PORTFOLIO SOLUTIONS S.A.
1487198,ASPU,fundamentals,
1231339,ASRE,fundamentals,
1808665,ASRT,fundamentals,
707605,ASRV,fundamentals,
1920406,ASST,fundamentals,
1001907,ASTC,fundamentals,
792987,ASTE,fundamentals,
1083446,ASTH,fundamentals,
1350102,ASTI,fundamentals,
1780312,ASTS,fundamentals,
884144,ASUR,fundamentals,
1876716,ASUUF,current,ASPAC II Acquisition Corp.
720500,ASYS,fundamentals,
1840904,ATAI,fundamentals,
1963088,ATCH,fundamentals,
1963088,ATCHW,current,"AtlasClear Holdings, Inc."
1068689,ATDS,fundamentals,
1350653,ATEC,fundamentals,
1882198,ATEK,fundamentals,
1882198,ATEKU,current,Athena Technology Acquisition Corp. II
1882198,ATEKW,current,Athena Technology Acquisition Corp. II
1580808,ATEN,fundamentals,
1757715,ATER,fundamentals,
1304492,ATEX,fundamentals,
730464,ATGE,delisted_seed,Adtalem Global Education Inc.
1527469,ATH-PA,fundamentals,
1527469,ATH-PB,current,Athene Holding Ltd.
1527469,ATH-PD,current,Athene Holding Ltd.
1527469,ATH-PE,current,Athene Holding Ltd.
2026353,ATHR,fundamentals,
1527469,ATHS,current,Athene Holding Ltd.
1018963,ATI,fundamentals,
2028516,ATII,fundamentals,
2028516,ATIIU,current,Archimedes Tech SPAC Partners II Co.
2028516,ATIIW,current,Archimedes Tech SPAC Partners II Co.
1666138,ATKR,fundamentals,
1464343,ATLC,fundamentals,
1464343,ATLCL,current,Atlanticus Holdings Corp
1464343,ATLCP,current,Atlanticus Holdings Corp
1464343,ATLCZ,current,Atlanticus Holdings Corp
1605888,ATLN,fundamentals,
1132651,ATLO,fundamentals,
1540684,ATLX,fundamentals,
1484674,ATMH,fundamentals,
1921963,ATMU,fundamentals,
879585,ATNI,fundamentals,
1388320,ATNM,fundamentals,
731802,ATO,fundamentals,
1420520,ATOM,fundamentals,
1488039,ATOS,fundamentals,
1713210,ATPC,fundamentals,
896622,ATR,fundamentals,
1604464,ATRA,fundamentals,
1323885,ATRC,fundamentals,
8063,ATRO,fundamentals,
8063,ATROB,current,ASTRONICS CORP
1702780,ATUS,delisted_seed,"Altice USA, Inc."
718877,ATVI,delisted_seed,"Activision Blizzard, Inc."
1530185,ATVK,fundamentals,
1650101,ATXG,fundamentals,
1644963,ATXI,fundamentals,
1339970,ATYR,fundamentals,
883948,AUB,fundamentals,
883948,AUB-PA,current,Atlantic Union Bankshares Corp
750574,AUBN,fundamentals,
1755058,AUC,fundamentals,
1534154,AUID,fundamentals,
1011509,AUMN,fundamentals,
1600620,AUPH,fundamentals,
1828108,AUR,fundamentals,
1501796,AURA,fundamentals,
1828108,AUROW,current,"Aurora Innovation, Inc."
1091596,AURX,fundamentals,
826253,AUSI,fundamentals,
1730463,AUTL,fundamentals,
1554818,AUUD,fundamentals,
104918,AVA,fundamentals,
1832332,AVAH,fundamentals,
1740797,AVAI,fundamentals,
2092446,AVAT,fundamentals,
1368622,AVAV,fundamentals,
915912,AVB,fundamentals,
2058758,AVBC,fundamentals,
1443575,AVBH,fundamentals,
1868279,AVBP,fundamentals,
5981,AVD,fundamentals,
1730168,AVGO,fundamentals,
1762303,AVHHL,current,"AVITA Medical, Inc."
1593899,AVIR,fundamentals,
1540171,AVLN,fundamentals,
1348036,AVLR,delisted_seed,AVALARA INC
1113313,AVNI,fundamentals,
1606498,AVNS,fundamentals,
1122976,AVNT,fundamentals,
1377789,AVNW,fundamentals,
1802974,AVO,fundamentals,
1777921,AVPT,fundamentals,
2011514,AVR,fundamentals,
8858,AVT,fundamentals,
1722482,AVTR,fundamentals,
1534120,AVTX,fundamentals,
1826397,AVX,fundamentals,
1314052,AVXL,fundamentals,
8818,AVY,fundamentals,
1021917,AWCA,fundamentals,
926617,AWHL,fundamentals,
7431,AWI,fundamentals,
1410636,AWK,fundamentals,
1056903,AWR,fundamentals,
1015739,AWRE,fundamentals,
1061069,AWX,fundamentals,
1299709,AX,fundamentals,
805928,AXGN,fundamentals,
1718500,AXIL,fundamentals,
1514946,AXIM,fundamentals,
2057030,AXIN,fundamentals,
2057030,AXINR,current,Axiom Intelligence Acquisition Corp 1
2057030,AXINU,current,Axiom Intelligence Acquisition Corp 1
1603756,AXNX,delisted_seed,"Axonics, Inc."
1069183,AXON,fundamentals,
4962,AXP,fundamentals,
6207,AXR,fundamentals,
1214816,AXS,fundamentals,
1214816,AXS-PE,current,AXIS CAPITAL HOLDINGS LTD
1579428,AXSM,fundamentals,
1616862,AXTA,fundamentals,
1051627,AXTI,fundamentals,
1144215,AYI,fundamentals,
1362988,AYR,fundamentals,
1385818,AYTU,fundamentals,
866787,AZO,fundamentals,
1897982,AZPN,delisted_seed,"Aspen Technology, Inc."
933974,AZTA,fundamentals,
1701478,AZTR,fundamentals,
8947,AZZ,fundamentals,
12927,BA,fundamentals,
12927,BA-PA,current,BOEING CO
1123596,BABB,fundamentals,
70858,BAC,fundamentals,
70858,BAC-PB,current,BANK OF AMERICA CORP /DE/
70858,BAC-PE,current,BANK OF AMERICA CORP /DE/
70858,BAC-PK,current,BANK OF AMERICA CORP /DE/
70858,BAC-PL,current,BANK OF AMERICA CORP /DE/
70858,BAC-PM,current,BANK OF AMERICA CORP /DE/
70858,BAC-PN,current,BANK OF AMERICA CORP /DE/
70858,BAC-PO,current,BANK OF AMERICA CORP /DE/
70858,BAC-PP,current,BANK OF AMERICA CORP /DE/
70858,BAC-PQ,current,BANK OF AMERICA CORP /DE/
70858,BAC-PS,current,BANK OF AMERICA CORP /DE/
2059654,BACC,fundamentals,
2059654,BACCR,current,Blue Acquisition Corp/Cayman
2059654,BACCU,current,Blue Acquisition Corp/Cayman
1729944,BACK,fundamentals,
70858,BACRP,current,BANK OF AMERICA CORP /DE/
1941536,BAER,fundamentals,
1941536,BAERW,current,"Bridger Aerospace Group Holdings, Inc."
1649739,BAFN,fundamentals,
1443646,BAH,fundamentals,
9389,BALL,fundamentals,
1747079,BALY,fundamentals,
1937926,BAM,fundamentals,
1169770,BANC,fundamentals,
1169770,BANC-PF,current,"BANC OF CALIFORNIA, INC."
1514416,BAND,fundamentals,
760498,BANF,fundamentals,
